don;acc;acctodon;DFRET;NFRETc;FRETNc
352566.1826;146119.2977;0.414445017;0.02990383;0.046450817;2.10962E-07
2578571.07;1032752.276;0.400513404;0.675478799;1.067341006;2.01545E-06
3884874.728;2643081.981;0.68035192;0.045845893;0.055581931;1.81791E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1220147.746;738359.1221;0.605139111;0.044925803;0.057752161;6.37076E-08
2007087.228;608919.8267;0.303384835;0.025761233;0.046770253;4.34251E-08
2562156.563;578501.8863;0.225787095;0.021681349;0.045628558;3.8309E-08
1263859.599;222652.132;0.176168407;0.008055515;0.0191924;3.64736E-08
4111246.476;3050825.929;0.74206836;0.048657868;0.056484738;1.67648E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
678975.5095;1329443.194;1.958013471;0.042273474;0.030210652;3.32014E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
577671.782;208066.6498;0.360181432;0.020696806;0.034485988;1.01574E-07
375771.9034;138683.6258;0.369063319;0.013921264;0.022915442;1.01799E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4212619.923;1492618.107;0.354320621;0.027814529;0.046727603;1.91679E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
421843.4248;132596.7639;0.314326966;0.003444014;0.006142909;2.60634E-08
5243985.34;2855068.6;0.544446335;0.040302891;0.054620876;1.47091E-08
3368147.013;1467226.802;0.435618397;0.029021763;0.043971439;2.03712E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2495632.478;400948.9598;0.160660259;0.011940089;0.029788822;3.01394E-08
4252810.62;834636.7695;0.196255334;0.013869941;0.031308617;1.68517E-08
4990428.594;1542609.656;0.309113662;0.032571949;0.05858476;2.18257E-08
553065.9612;92392.61491;0.167055327;0.016399713;0.040124172;1.8046E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2055970.384;524308.738;0.255017651;0.02106349;0.041710482;4.10382E-08
3222382.595;2822313.526;0.875846813;0.049866323;0.053283564;1.85959E-08
1754704.827;146447.098;0.083459677;0.003515462;0.012168695;2.40897E-08
832394.3626;585556.437;0.703460359;0.047637266;0.056797211;8.54232E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1872218.341;510763.4268;0.272811891;0.022318876;0.042730765;4.46946E-08
2042484.165;491647.4542;0.240710534;0.020597784;0.04198295;4.27765E-08
651172.2875;577877.4574;0.887441724;0.037370538;0.039669746;6.71791E-08
3506706.257;1445129.128;0.412104414;0.02676963;0.041700258;1.90336E-08
1644411.313;396181.4693;0.240926018;0.012094348;0.024639995;3.0901E-08
584953.3781;126289.6232;0.215896904;0.008120258;0.017476184;6.48251E-08
3429614.103;1428726.458;0.416585194;0.032036163;0.049635064;2.3165E-08
2060344.001;892174.0175;0.433021873;0.029965853;0.045537766;3.4625E-08
4826871.675;2031107.801;0.420791754;0.035096107;0.054103497;1.79078E-08
3173174.815;639543.8535;0.201546997;0.011657833;0.025967472;1.84434E-08
668369.5323;68292.69221;0.102178045;0.004113999;0.012870202;6.04895E-08
1067447.657;383960.8066;0.359699892;0.034769008;0.057972515;9.38154E-08
517264.3957;156047.1011;0.301677638;0.02739666;0.049879956;1.80512E-07
2131147.36;668649.602;0.313750994;0.029345815;0.05239063;4.52151E-08
1851642.043;625564.5314;0.337843123;0.035569492;0.061195589;5.89569E-08
1563665.622;366900.2873;0.234641142;0.020097595;0.041489864;5.59002E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
637460.1979;479181.9945;0.751704963;0.063423036;0.073151514;1.4132E-07
417204.0978;411175.8364;0.98555081;0.052491836;0.052875228;1.34735E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3673134.949;1491432.564;0.406038053;0.029250475;0.045903897;2.02033E-08
371247.1687;242702.2758;0.653748489;0.021897262;0.027082232;9.22426E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1943218.241;607623.2168;0.312689128;0.023056881;0.041232928;3.88416E-08
1899643.158;225684.4412;0.118803598;0.009840258;0.02854905;4.40352E-08
597427.6356;307009.3845;0.513885475;0.041188023;0.057456316;1.39922E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
764641.1741;524284.4013;0.685660698;0.039592182;0.047813971;7.86297E-08
935375.3497;309866.5045;0.331275038;0.018794634;0.032654235;6.18158E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4389253.95;1687109.227;0.384372662;0.043431826;0.070053823;2.69122E-08
2924922.416;1145196.499;0.391530556;0.029746971;0.047540081;2.67718E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3682137.809;1180456.319;0.320589935;0.019295698;0.034078898;1.66676E-08
604025.1995;481754.8314;0.797574061;0.034568356;0.03870733;7.43243E-08
1829244.351;1510165.212;0.825567788;0.08404582;0.092499578;6.076E-08
376327.4984;195905.3751;0.520571513;0.034881053;0.048344757;1.84486E-07
2244661.299;1073814.187;0.478385843;0.03613595;0.052245671;3.49136E-08
